"PIN","sex","age","condition","shock","tipi1","tipi2","tipi3","tipi4","tipi5","tipi6","tipi7","tipi8","tipi9","tipi10","preShare","postShare","guilt"
1,"female",19,"self_good","high",3,5,5,2,4,5,5,2,5,4,5,8,6
2,"female",18,"self_good","high",5,4,4,5,5,5,4,6,6,4,6,10,6
3,"female",20,"self_good","high",1,4,4,4,4,3,3,6,3,6,4,8,5
4,"female",19,"self_good","high",5,4,3,5,4,2,5,3,3,5,3,7,7
5,"female",21,"self_good","high",4,4,5,5,3,4,3,4,2,5,7,10,6
6,"female",21,"self_good","high",4,6,3,2,3,3,3,3,6,4,5,9,5
7,"female",20,"self_good","high",4,4,4,4,4,4,3,2,4,3,6,10,6
8,"female",21,"self_good","high",4,2,4,4,1,5,7,3,6,5,4,8,6
9,"female",22,"self_good","high",2,1,4,5,4,4,3,5,5,4,4,8,7
10,"female",21,"self_good","high",3,5,3,4,3,3,4,4,4,3,3,8,7
11,"female",22,"self_good","high",4,5,2,3,5,4,4,5,4,2,5,9,5
12,"female",20,"self_good","high",3,2,3,7,3,4,3,3,3,3,4,9,6
13,"female",18,"self_good","high",4,3,3,5,5,3,5,4,5,2,3,7,6
14,"female",19,"self_good","high",5,4,6,5,2,4,2,2,2,5,3,7,5
15,"female",20,"self_good","high",4,5,4,2,3,2,2,5,5,2,5,8,7
16,"female",20,"self_good","high",4,5,3,5,5,4,3,4,2,1,5,9,6
17,"female",21,"self_good","high",3,3,5,6,3,3,5,3,4,6,3,7,7
18,"female",21,"self_good","high",5,4,5,4,6,3,5,3,4,4,4,8,6
19,"female",21,"self_good","high",4,4,3,3,5,4,3,4,2,3,2,5,6
20,"female",21,"self_good","high",6,3,2,3,3,3,5,4,5,5,6,10,7
21,"female",21,"self_good","high",3,3,6,3,4,4,3,2,3,3,5,10,6
22,"female",20,"self_good","high",5,5,5,4,2,2,5,4,4,6,4,8,6
23,"female",22,"self_good","high",4,5,4,4,5,4,5,4,6,4,4,7,5
24,"female",20,"self_good","high",3,6,5,6,4,3,2,4,3,3,3,6,5
25,"female",21,"self_good","high",1,4,4,4,4,4,2,5,5,3,3,8,5
26,"female",20,"self_good","high",6,2,5,3,4,3,5,2,5,3,3,8,6
27,"female",21,"self_good","high",4,4,5,2,5,1,5,2,5,2,5,10,6
28,"female",19,"self_good","high",4,6,3,5,4,3,3,3,4,4,3,7,6
29,"female",20,"self_good","high",6,4,4,5,5,3,5,4,4,3,4,8,6
30,"female",19,"self_good","high",2,6,2,3,5,6,5,4,6,3,4,8,6
31,"female",21,"self_good","medium",6,5,3,6,4,2,3,2,4,5,4,7,5
32,"female",22,"self_good","medium",1,2,4,4,5,4,2,3,5,4,4,6,5
33,"female",20,"self_good","medium",1,5,3,5,3,4,4,4,5,6,2,5,6
34,"female",21,"self_good","medium",6,4,1,3,3,2,4,5,5,4,4,8,6
35,"female",20,"self_good","medium",1,4,6,3,3,5,4,2,5,5,4,8,7
36,"female",20,"self_good","medium",5,6,3,4,6,3,4,4,3,4,3,4,5
37,"female",20,"self_good","medium",4,3,4,2,5,4,4,5,5,6,2,5,5
38,"female",22,"self_good","medium",3,3,6,4,3,2,4,3,4,3,4,7,5
39,"female",20,"self_good","medium",3,5,5,2,4,5,3,2,4,2,4,6,4
40,"female",18,"self_good","medium",3,4,6,4,5,3,4,1,4,5,5,10,4
41,"female",20,"self_good","medium",4,4,4,3,4,4,4,3,6,2,5,8,5
42,"female",19,"self_good","medium",5,2,5,5,5,4,4,3,4,2,4,7,5
43,"female",21,"self_good","medium",5,5,4,5,5,3,3,6,3,3,3,5,5
44,"female",19,"self_good","medium",4,2,2,5,3,3,3,4,4,4,3,7,5
45,"female",19,"self_good","medium",3,5,5,4,3,2,1,4,4,2,6,9,5
46,"female",21,"self_good","medium",3,3,1,2,4,4,4,5,6,5,7,10,5
47,"female",18,"self_good","medium",3,5,3,5,6,6,4,4,5,1,4,7,6
48,"female",21,"self_good","medium",3,7,2,3,5,3,2,5,5,1,3,5,4
49,"female",22,"self_good","medium",2,6,7,4,3,6,1,1,4,6,4,7,6
50,"female",19,"self_good","medium",3,2,5,6,3,5,6,3,4,5,5,9,5
51,"female",20,"self_good","medium",3,1,3,4,2,3,4,6,5,6,4,6,5
52,"female",21,"self_good","medium",4,3,6,4,3,3,7,2,4,4,3,6,6
53,"female",21,"self_good","medium",4,4,4,5,3,3,2,1,3,3,5,7,6
54,"female",21,"self_good","medium",2,5,5,4,2,3,2,4,4,4,3,6,6
55,"female",21,"self_good","medium",2,3,5,4,6,5,4,5,4,1,3,6,6
56,"female",20,"self_good","medium",3,5,5,3,3,3,2,4,7,3,2,4,5
57,"female",19,"self_good","medium",3,5,2,3,3,4,3,5,5,3,3,6,6
58,"female",19,"self_good","medium",5,4,5,6,5,1,2,3,3,2,4,6,6
59,"female",19,"self_good","medium",4,3,3,3,3,4,5,2,4,4,5,9,6
60,"female",19,"self_good","medium",3,2,4,2,5,3,5,6,3,5,5,8,6
61,"female",19,"self_good","low",3,3,6,3,4,4,5,3,6,4,6,9,6
62,"female",20,"self_good","low",5,4,4,2,4,2,4,2,4,2,4,6,4
63,"female",19,"self_good","low",6,5,4,6,4,2,3,5,4,5,3,5,5
64,"female",20,"self_good","low",6,5,5,2,4,3,3,4,3,4,2,4,4
65,"female",20,"self_good","low",1,4,3,3,4,5,3,4,7,5,3,5,4
66,"female",22,"self_good","low",5,3,5,3,3,2,4,6,4,5,3,4,5
67,"female",21,"self_good","low",5,4,6,4,1,2,2,2,5,7,5,6,4
68,"female",21,"self_good","low",3,3,3,5,5,4,5,5,3,3,5,7,6
69,"female",18,"self_good","low",4,2,5,2,6,4,7,3,4,2,3,7,5
70,"female",22,"self_good","low",4,6,5,5,2,3,4,2,3,5,4,5,5
71,"female",20,"self_good","low",5,5,3,3,4,2,3,3,3,5,3,5,6
72,"female",20,"self_good","low",4,2,2,3,3,3,6,3,5,2,3,6,5
73,"female",18,"self_good","low",4,3,3,6,5,5,3,4,3,5,4,7,5
74,"female",21,"self_good","low",4,3,5,2,3,6,5,3,5,4,5,8,5
75,"female",19,"self_good","low",4,5,4,2,5,2,2,2,6,4,3,4,4
76,"female",19,"self_good","low",3,3,4,3,5,4,3,4,4,3,3,5,5
77,"female",21,"self_good","low",4,5,5,3,3,3,4,3,5,4,4,5,6
78,"female",19,"self_good","low",7,4,4,4,5,2,2,3,5,5,6,7,5
79,"female",20,"self_good","low",4,3,6,4,4,2,5,2,4,2,3,6,6
80,"female",21,"self_good","low",4,2,4,4,3,2,4,4,4,5,4,5,5
81,"female",21,"self_good","low",2,3,3,3,4,3,6,5,5,5,5,8,6
82,"female",21,"self_good","low",5,5,2,4,4,4,2,5,5,4,5,7,5
83,"female",21,"self_good","low",2,5,5,3,3,2,4,4,6,7,4,7,5
84,"female",20,"self_good","low",3,3,5,5,4,4,5,1,4,5,4,7,5
85,"female",19,"self_good","low",3,5,3,3,3,6,2,2,5,7,3,4,5
86,"female",20,"self_good","low",6,6,6,4,4,2,1,4,4,1,4,5,5
87,"female",20,"self_good","low",4,5,5,4,2,3,3,4,4,5,3,5,4
88,"female",20,"self_good","low",2,4,4,4,2,2,5,4,5,6,3,6,5
89,"female",21,"self_good","low",4,3,3,3,4,5,4,5,4,2,5,7,5
90,"female",19,"self_good","low",3,2,5,2,5,6,5,4,5,2,4,6,6
91,"female",20,"self_bad","high",3,3,6,3,3,4,4,1,4,3,2,3,5
92,"female",20,"self_bad","high",4,4,6,6,5,4,4,1,4,2,4,6,5
93,"female",21,"self_bad","high",3,4,3,5,5,3,2,3,3,4,4,6,5
94,"female",21,"self_bad","high",1,2,4,2,5,5,4,3,4,1,6,8,4
95,"female",19,"self_bad","high",4,4,3,6,4,4,4,6,3,2,4,5,4
96,"female",19,"self_bad","high",4,5,5,5,2,4,4,5,3,6,6,6,3
97,"female",20,"self_bad","high",5,4,4,5,5,2,2,3,2,4,4,4,4
98,"female",20,"self_bad","high",4,1,5,2,5,4,4,4,6,4,5,6,4
99,"female",21,"self_bad","high",4,4,7,5,5,3,3,2,4,3,3,4,3
100,"female",19,"self_bad","high",3,4,3,3,3,6,4,5,5,5,4,4,4
101,"female",19,"self_bad","high",4,4,5,4,5,3,3,4,3,3,6,7,5
102,"female",19,"self_bad","high",4,5,5,5,4,4,5,1,6,6,4,5,5
103,"female",20,"self_bad","high",1,4,4,3,4,5,6,4,4,3,4,3,4
104,"female",21,"self_bad","high",5,5,5,4,6,4,4,3,6,2,4,6,7
105,"female",18,"self_bad","high",2,4,5,2,4,4,4,3,5,1,4,4,4
106,"female",21,"self_bad","high",1,3,6,4,3,4,2,2,5,3,3,4,4
107,"female",21,"self_bad","high",3,4,4,4,3,3,4,4,4,5,4,5,4
108,"female",20,"self_bad","high",1,4,6,5,4,3,3,3,3,4,2,4,4
109,"female",20,"self_bad","high",1,3,5,6,3,5,3,3,4,4,4,5,5
110,"female",20,"self_bad","high",6,4,4,3,4,4,3,3,5,7,6,7,4
111,"female",19,"self_bad","high",4,1,5,5,5,2,6,3,2,4,4,5,4
112,"female",21,"self_bad","high",4,2,4,5,3,4,6,4,3,7,3,4,4
113,"female",19,"self_bad","high",4,3,4,6,4,3,6,3,2,5,4,6,5
114,"female",21,"self_bad","high",3,5,4,3,4,5,3,3,4,4,3,4,5
115,"female",19,"self_bad","high",5,3,4,4,4,4,1,5,5,6,2,2,5
116,"female",21,"self_bad","high",4,5,4,2,2,3,2,5,5,5,5,6,3
117,"female",20,"self_bad","high",3,2,3,3,4,2,7,6,6,4,6,8,4
118,"female",21,"self_bad","high",4,3,5,6,3,4,5,3,4,3,4,6,4
119,"female",21,"self_bad","high",2,1,7,3,4,4,4,2,3,7,4,7,4
120,"female",20,"self_bad","high",7,4,3,5,4,3,3,4,5,6,3,5,5
121,"female",21,"self_bad","medium",3,2,3,3,3,4,5,4,5,5,4,5,4
122,"female",22,"self_bad","medium",3,4,4,1,6,5,2,2,6,5,6,6,4
123,"female",18,"self_bad","medium",4,5,4,4,4,3,5,4,3,3,3,4,5
124,"female",21,"self_bad","medium",4,4,5,3,3,5,4,3,4,4,3,3,5
125,"female",19,"self_bad","medium",5,5,4,4,4,4,4,1,3,5,4,3,3
126,"female",21,"self_bad","medium",2,3,5,4,4,2,4,3,4,4,5,4,3
127,"female",20,"self_bad","medium",4,4,3,5,4,4,3,2,5,3,3,3,4
128,"female",18,"self_bad","medium",3,5,5,3,4,4,3,3,5,5,3,4,4
129,"female",20,"self_bad","medium",2,4,3,4,4,4,4,4,3,6,4,4,4
130,"female",19,"self_bad","medium",7,4,2,3,6,3,3,5,5,3,5,6,4
131,"female",18,"self_bad","medium",3,3,6,6,5,4,3,6,3,3,4,4,4
132,"female",19,"self_bad","medium",3,5,5,4,4,4,5,5,4,2,3,3,4
133,"female",18,"self_bad","medium",5,3,3,3,4,2,7,4,4,4,5,5,4
134,"female",20,"self_bad","medium",3,3,4,4,4,3,3,2,4,6,6,6,3
135,"female",19,"self_bad","medium",5,5,3,3,2,4,6,7,5,6,5,6,3
136,"female",21,"self_bad","medium",6,7,3,3,5,1,1,5,6,4,5,4,3
137,"female",19,"self_bad","medium",4,3,5,2,4,3,3,3,4,3,4,4,4
138,"female",20,"self_bad","medium",3,5,5,6,6,5,5,2,4,3,4,4,3
139,"female",22,"self_bad","medium",4,5,5,6,4,4,4,3,4,2,4,4,3
140,"female",21,"self_bad","medium",3,3,6,3,5,3,4,2,6,4,5,6,4
141,"female",18,"self_bad","medium",4,3,4,2,5,6,4,3,5,2,4,4,4
142,"female",19,"self_bad","medium",3,6,4,2,4,4,1,5,6,3,3,3,3
143,"female",19,"self_bad","medium",1,3,4,4,5,5,3,4,3,2,5,6,3
144,"female",21,"self_bad","medium",5,4,6,5,6,1,4,3,4,5,4,4,3
145,"female",21,"self_bad","medium",4,2,5,5,4,3,2,3,4,4,4,5,4
146,"female",20,"self_bad","medium",3,4,4,3,2,3,3,4,5,5,5,5,3
147,"female",19,"self_bad","medium",2,4,3,2,5,5,5,3,6,2,4,5,6
148,"female",21,"self_bad","medium",3,5,4,3,3,4,4,3,6,3,5,5,3
149,"female",18,"self_bad","medium",4,4,4,4,3,4,3,4,4,3,6,6,3
150,"female",22,"self_bad","medium",2,6,4,3,3,4,3,6,6,7,6,6,4
151,"female",21,"self_bad","low",1,4,3,1,3,4,4,6,6,4,4,2,3
152,"female",20,"self_bad","low",3,5,3,4,5,4,3,6,4,3,4,3,4
153,"female",21,"self_bad","low",5,3,5,6,4,4,2,6,4,1,4,2,3
154,"female",21,"self_bad","low",5,6,4,3,3,2,3,3,5,6,3,2,3
155,"female",18,"self_bad","low",4,3,4,5,3,3,4,6,3,2,4,3,2
156,"female",20,"self_bad","low",4,5,5,4,3,5,3,4,3,4,5,4,2
157,"female",20,"self_bad","low",5,4,3,2,4,4,4,5,5,4,3,1,3
158,"female",20,"self_bad","low",3,4,4,6,3,4,5,3,4,5,5,4,2
159,"female",20,"self_bad","low",4,3,5,3,4,4,4,4,5,3,4,4,3
160,"female",22,"self_bad","low",4,2,5,3,4,1,6,3,5,3,3,2,4
161,"female",20,"self_bad","low",3,5,3,3,4,4,3,4,4,3,3,2,3
162,"female",20,"self_bad","low",2,4,4,4,4,6,5,3,5,3,3,2,3
163,"female",18,"self_bad","low",5,2,5,3,3,2,4,3,5,5,4,3,3
164,"female",20,"self_bad","low",3,7,4,6,3,4,1,6,1,5,3,0,2
165,"female",20,"self_bad","low",1,5,4,3,6,5,3,4,6,2,2,1,3
166,"female",20,"self_bad","low",3,4,4,6,3,3,4,5,2,7,3,2,3
167,"female",21,"self_bad","low",2,5,4,2,5,6,4,4,5,4,3,2,2
168,"female",19,"self_bad","low",5,3,5,5,5,4,4,4,2,3,2,2,3
169,"female",19,"self_bad","low",2,3,4,3,5,5,3,6,5,3,3,1,3
170,"female",21,"self_bad","low",3,5,4,2,5,5,4,2,7,2,3,2,2
171,"female",19,"self_bad","low",5,5,3,5,6,3,3,6,4,1,4,2,2
172,"female",20,"self_bad","low",4,3,4,5,4,2,4,4,5,6,4,3,3
173,"female",20,"self_bad","low",5,3,7,3,4,2,3,3,5,4,4,2,2
174,"female",20,"self_bad","low",4,4,6,3,5,3,4,5,4,4,5,4,3
175,"female",20,"self_bad","low",6,6,4,4,6,2,3,4,4,4,4,3,3
176,"female",20,"self_bad","low",3,4,3,3,3,5,5,5,5,4,5,3,3
177,"female",20,"self_bad","low",2,4,5,2,4,5,3,4,4,3,6,5,2
178,"female",20,"self_bad","low",3,5,2,3,3,6,4,6,4,5,3,2,3
179,"female",18,"self_bad","low",4,2,4,2,5,3,6,5,7,3,6,6,3
180,"female",22,"self_bad","low",5,1,3,5,5,4,4,6,5,1,4,3,3
181,"female",19,"partner_good","high",4,3,6,3,5,3,6,1,4,2,4,7,6
182,"female",21,"partner_good","high",5,4,3,2,5,4,5,3,7,6,5,9,5
183,"female",18,"partner_good","high",7,4,3,4,6,2,2,3,4,3,5,6,4
184,"female",20,"partner_good","high",3,5,4,4,3,3,5,3,5,4,4,6,5
185,"female",19,"partner_good","high",2,3,2,5,3,3,4,3,4,4,4,7,4
186,"female",20,"partner_good","high",4,3,2,3,4,2,5,4,6,4,5,8,5
187,"female",20,"partner_good","high",3,4,6,4,5,5,4,3,4,3,3,5,4
188,"female",18,"partner_good","high",4,4,5,4,4,4,4,3,5,1,4,5,5
189,"female",19,"partner_good","high",5,4,4,5,3,2,3,4,5,5,3,5,5
190,"female",21,"partner_good","high",4,4,5,3,3,3,5,3,4,5,5,8,6
191,"female",22,"partner_good","high",5,3,3,3,6,2,3,4,6,3,5,7,6
192,"female",20,"partner_good","high",3,5,3,5,4,5,4,6,3,3,3,5,5
193,"female",19,"partner_good","high",4,4,6,3,3,1,3,2,5,4,2,4,5
194,"female",18,"partner_good","high",3,3,3,4,3,5,4,7,6,5,5,7,4
195,"female",19,"partner_good","high",3,4,7,5,4,4,2,3,4,4,4,6,4
196,"female",21,"partner_good","high",2,3,5,4,5,5,4,4,3,4,2,5,5
197,"female",20,"partner_good","high",5,3,4,3,6,4,5,3,5,3,4,6,5
198,"female",20,"partner_good","high",3,3,4,2,4,2,5,5,5,3,4,7,5
199,"female",20,"partner_good","high",4,5,5,4,6,2,1,5,4,4,3,5,4
200,"female",20,"partner_good","high",2,4,4,5,3,5,6,4,3,5,3,6,5
201,"female",21,"partner_good","high",6,4,4,5,5,6,4,2,5,5,5,6,6
202,"female",21,"partner_good","high",3,3,5,4,5,5,4,3,4,1,5,7,4
203,"female",20,"partner_good","high",6,4,4,3,5,2,4,3,4,2,4,6,4
204,"female",21,"partner_good","high",3,3,6,3,4,4,4,6,4,4,3,6,5
205,"female",22,"partner_good","high",5,4,6,5,5,5,6,4,6,2,5,7,4
206,"female",21,"partner_good","high",5,4,2,7,3,3,2,4,3,5,5,7,5
207,"female",19,"partner_good","high",4,6,4,3,4,4,2,5,4,4,3,4,3
208,"female",20,"partner_good","high",4,4,4,7,4,4,4,3,4,5,6,9,6
209,"female",19,"partner_good","high",2,4,5,5,2,4,4,3,5,4,4,6,4
210,"female",21,"partner_good","high",4,6,5,4,3,3,4,4,5,5,4,7,5
211,"female",18,"partner_good","medium",4,4,5,3,3,4,3,4,5,4,5,6,4
212,"female",20,"partner_good","medium",4,6,6,3,4,3,3,3,6,5,4,4,4
213,"female",21,"partner_good","medium",2,4,4,5,4,5,3,4,6,3,4,5,4
214,"female",20,"partner_good","medium",6,3,5,4,4,4,4,3,5,3,6,6,4
215,"female",19,"partner_good","medium",3,3,4,5,4,3,4,5,4,5,4,5,5
216,"female",20,"partner_good","medium",3,2,6,6,4,4,5,3,1,5,2,3,4
217,"female",20,"partner_good","medium",5,5,4,4,3,4,4,5,5,7,1,1,4
218,"female",19,"partner_good","medium",3,3,5,4,4,4,4,4,3,4,4,6,5
219,"female",20,"partner_good","medium",3,4,6,3,1,5,5,3,5,6,2,4,5
220,"female",19,"partner_good","medium",3,5,3,3,3,4,4,6,6,4,4,6,4
221,"female",20,"partner_good","medium",3,2,3,4,6,4,4,4,5,2,4,5,5
222,"female",22,"partner_good","medium",2,3,6,3,4,2,4,5,5,3,2,3,-99
223,"female",20,"partner_good","medium",4,4,4,6,4,2,4,5,3,2,3,3,4
224,"female",19,"partner_good","medium",4,5,6,6,2,4,3,5,3,5,4,6,4
225,"female",20,"partner_good","medium",5,4,3,4,4,3,4,2,4,5,4,4,4
226,"female",21,"partner_good","medium",5,2,3,4,4,3,4,3,4,4,5,6,5
227,"female",19,"partner_good","medium",1,3,6,4,5,5,3,4,5,5,4,5,4
228,"female",21,"partner_good","medium",5,5,6,5,3,3,3,2,3,7,4,6,4
229,"female",20,"partner_good","medium",2,3,5,5,4,4,4,3,5,4,4,5,4
230,"female",19,"partner_good","medium",6,4,4,3,5,3,4,4,5,4,4,6,4
231,"female",20,"partner_good","medium",4,6,3,4,4,4,5,2,5,4,4,5,-99
232,"female",21,"partner_good","medium",5,3,5,5,5,3,5,4,5,3,4,5,4
233,"female",20,"partner_good","medium",3,2,6,5,4,5,6,3,5,3,3,5,6
234,"female",21,"partner_good","medium",1,4,4,2,3,6,4,6,4,5,4,6,5
235,"female",19,"partner_good","medium",3,6,4,3,3,3,4,4,6,3,4,4,4
236,"female",19,"partner_good","medium",3,2,3,5,3,5,1,5,5,6,4,5,5
237,"female",20,"partner_good","medium",3,2,3,2,5,3,5,3,5,2,2,3,4
